ID,comments
1,"Thầy này ở Đại Tùng Lâm- Vũng Tàu. Chùa chuyên nuôi ng già niệm Phật. Hơn 2000 cụ già neo đơn ở rồi, k đủ chỗ ở đang xây thêm."
2,"Nhìn mặt và cái miệng cười thấy hãi hùng quá Tâm luôn nghĩ , hướng về vật chất , tiền bạc Vậy sao có thể tĩnh tâm tu thành chính quả được ???"
3,"Khầy "" giỏi "" quá ."
4,Phan Huy dử chưa
5,Tui nhìn mặt Thầy thấy hong có hậu chút nào luôn trời
6,Minh Phương Vy mồm rộng thế cơ mà
7,Ngô Đức Cường thời của mấy ông Thầy Thích cúng dường này tới rồi
8,Minh Phương Vy Khầy Thiếu mấy căn mặt tiền cho gia đình nên ráng chạy đủ KPI
9,Ngô Đức Cường mồm rộng ăn dữ lắm
10,"Minh Phương Vy Có hậu mà bạn,mà là ""Hậu Quả Khôn Luờng"""
11,David Vuong dạo gần đây Thầy cứ live miết
12,David Vuong nét nẹt luôn bác
13,David Vuong chứ không phải hậu môn hả bạn
14,Minh Phương Vy nhìn thấy không thuyết pháp xàm xí gì đâu
15,Minh Phương Vy hậu môn á….
16,Minh Phương Vy có hậu môn mà bạn
17,Minh Phương Vy những người lợi hở như này thiên hạ không ai muốn chơi .
18,Thợ Tu Thích Chuyển Khoản
19,Cho cái pháp bảo ruột nồi cơm điện của thầy minh tuệ vào mồm thằng thợ tu này :))
20,Ngọc Accent để người người ta còn bưng đi quá duyên ngày bữa cơm ông ơi...đập vô hư uổng..!!
21,Nhìn mặt là biết rồi . Uy tín quá mà
22,"Viết Hiếu chuẩn..nhìn mặt hắn đã hiện rõ sự nham hiểm, cứ dã man on ngan á"
23,Mai Sinh Vũ tâm sinh tướng
24,Chuyển thành Thích Đớp Cứt cho nhanh.
25,Dấu Chấm Hỏi pháp danh thích hốc cứt
26,Thằng này ngày trước hay nhậu ở Cmt8 q1
27,Huy Xuan ngày trước là bao lâu rồi b
28,Huy Xuan đúng r thầy có kể . Ngày xưa làm bếp bạn bè rủ nhậu . Báo nói thầy trụ trì ở daklak đâu có phải .chùa thầy ở vũng tàu mà . Cũng có phải tên khánh đâu . Thầy tên Hiền mà
29,Loan Nguyen coi chừng có phát hiện thêm cái mới giật gân nữa
30,Nụ cười nham nhở
31,Minh Thu Hoàng nói bắn cả nước bọt nhìn ghê chết!
32,"Minh Thu Hoàng công nhận nhìn khuôn mặt,nụ cười,hàm răng ..nham nhở sợ vãi lun"
33,Kkk. Cứ ting ting liên tục thì thầy k ngậm đc mồm lại luôn. Kkk
