comments,ID
Jay JQKA2 báo sâm. nghĩa câu này là gì nhỉ,38
Jay Z là tên rapper còn JQKA2 là báo sâm đó b :)),57
"Đại Vũ ơi, Phúc Du tới kìa",85
"Battle no beat rap, cho ai chưa biết đây là 1 trong những cái nôi sinh ra Phúc Du",112
Có thể k phải Người VN,161
@Thanh Ngân nhìn mặt nó kìaaaa bưm! thần thái thế ,174
Nhìn mặt ông Xuân Pắc buồn cười,192
Bắc Nam là ae kí đầu cali,195
"Thời trc nữa Tupac Biggie rap vẫn có tính nhạc vẫn feel quẩy theo dc nhé…còn thời LK,Eminem thì nhạc đã quá hay rồi ko bàn thêm",234
 Văn hoá rap từ dân da màu  còn Rap Việt này tiếng hoá thành 1 loại văn điếu chơi 1 mình ,245
@Thuy Van Luong nhớ tới ai đó,265
"Cali gì thằng này , nó ở Miền Nam thẳng căng đấy chứ Cali nào",329
"Miền Nam thì sao??Bạn bt tại sao thủ đô k đặt ở miền nam k.Vì miền nam muốn theo tây,mất công giải phóng nó xong bh nó muốn phản động",330
thế mới thấy bọn cali chúng m tuổi (.) sánh vai vs dân Việt Nam bọn tao,398
"Việt Nam nhân dân ái quốc hiện sử xưa nằm ngay trong tim tiền nhân bao năm, chẳng ngờ hậu thế chỉ vì một câu chia rẽ non sông",449
Bọn Nô lệ pháp,475
Tag Jack voooooooooooooooooooo,509
Nó là bọn phản động công kích k phải người Việt Nam bạn ơi đừng nói như vậy tội những người Niền Nam yêu nước ,532
dmn Pigheaded Cali,560
Pigheaded Cali homeless! fk,561
@Nvnamlođược: @Tuệ Trí: 3que..      Cali/// và lũ vất sục   ,566
ô vãi vd Việt Nam có người nước ngoài vào bình luận kìa ngôn ngữ lạ vậy ?,787
Anh Tuấn nào đó nhột,806
Anh Jack đã xem và nhận xét,810
@Khang Nguyễn hay vãi bìu,872
@Bầy Bi Sắc Đu Đu giống thg Vũ,885
Parky P = Phóng khoáng a = an nhàn r = rực rỡ k = khôn ngoan y = yêu thương,928
-Parky P = Phóng khoáng a = an nhàn r = rực rỡ k = khôn ngoan y = yêu thương (yêu nước),930
hình như vua Gia Long là người đặt tiền cho nước là Việt Nam hay là người vẽ lá cờ đó ạ mình ko nhớ rỏ nên ko khẳng định có gì sai cho mình xin lỗi ạ,936
Việt Nam ,939
những vị anh hùng những người lính Việt Nam hi sinh vì tổ quốc và họ nhận lại thứ gì.....,941
"Parky,Namkiki, BẮC TRUNG NAM LÀ ANH EM 1 NHÀ",949
Parky P = Phồn Vinh a = an nhàn r = rực rỡ k = khôn ngoan y = yêu thương.,961
Bắc Trung Nam là ae một nhà,969
Việt Nam muôn năm ,972
Nam Bắc là 1 nhà,981
Bạn làm về nhà tây sơn vua Quang Trung và vua gia long đi,987
Theo tôi tiên tri thì Việt Nam ta sẽ Cường Thịnh khoảng 100 năm nữa( đến năm 2100) trở đi sẽ nội bộ lục đục . Quan dân ko đồng nhất làm đất nước suy yếu. Và ngoại bang sẽ nhảy vào. Lại chiến tranh.,990
Lý Thường Kiệt hả?,998
Bắc Trung Nam là anh em 1 nhà,999
Nam Bắc Một Nhà,1009
ai team Miền Trung sẽ là trungki,1013
người mà thống nhất dân tộc Việt Nam và các dân tộc nc khác là Chủ tịch Hồ Chí Minh ,1017
tui kiu nước Việt Nam là An Nam,1022
ae Nam Bắc 1 nhà,1049
"có phải ai nói tiếng Việt là người Việt Nam đâu, nên họ phản diện vậy đó",1057
ở Đồng Nai QL 51 có 1 đoạn đường chuyên rải đinh toàn dân Pakki 54 ,1060
máu đỏ da vàng tôi là người Việt Nam...,1061
trợ giúp giải phóng Miền Nam giờ bị kì thị ko bt nói sao nx ông nội tôi mata trong cuộc kháng chiến giải phóng M.Nam giờ lại bị chính M.nam kì thị,1064
may mà ko thành 2 nước như Hàn Quốc và Triều Tiên,1073
vậy là Việt Nam dân chủ cộng hòa hi sinh vô ích rồi ,1075
@thomas Vua Gia Long,1088
QUANG TRUNG LÀ VỊ ANH HÙNG LỊCH SỬ TUI THÍCH NHẤT,1093
Việt Nam thì không muốn mà muốn Hàn vs Triều Tiên lắm hả,1095
thế thôi chứ có gì bôi nhọ tới Việt Nam thì lại thành 1 nhà cả thôi,1100
Nước Việt Nam Là 1 Dân Tộc Việt Nam Là 1 Chân Lý Này Không Bao Giờ Thay Đổi,1113
mình là người Thanh Hóa,1114
ae Miền Nam chào ae Miền bắc và ae Miền trung nha,1123
Bắc Nam Trung là anh em,1126
Trung Quốc ,1131
BẮC TRUNG NAM LÀ ANH EM MỘT NHÀ !,1138
đừng PBVM nữa Bắc Trung Nam là 1 nhà,1148
"Ngô Quyền là người miền Nam đk tại cọc bạch Bạch đằng ở bình dương nhưng sông chảy từ Miền Bắc xuống Nam, cx có thể là người Bác=)))))",1152
uầy Miền Nam tao có 3 dân tộc chính thôi đấy Kinh-Hoa-khmer. Còn lũ bắc m 4-50 tộc kìa,1167
Tao Người Việt Gốc Hoa Người Trung Quốc Đánh Việt Nam 1979 ok tao sẽ Miền Parkiki sẽ đồng hóa thui Anh Em NamKy Người Việt Gốc Hoa Đâu xin cánh tay Để ĐH bọn Parkiki này để nó nói Tiếng Quảng Đông,1180
"Parky,Namkiki, BẮC TRUNG NAM LÀ ANH EM 1 NHÀ ",1184
namky ngày xưa là chăm pa đc vào Việt Nam là may ,1200
@X Ray vừa namky vừa khmer ,1209
Nguyễn Quang Vinh t người Nam Định MB đây còn ghét tụi parky,1867
Tú Tống t ghét parky bò đỏ chứ có liên quan đế n MB à cu,1871
"Minh Tân tổ tông nào toàn packy vậy? VN có 54 dân tộc nha, người miền nam có rất nhiều nguồn gốc, từ người hoa, người chăm... Còn nói về nguồn gốc thì tàu khựa là tổ tông của packy đó, sao ko lập bàn thờ thờ tụi nó đi, ngu mà còn hay nói.",1876
Duy Nqp mày đang nói và viết bằng tiếng gì hả thằng đần ;))))) miền nam mù chữ các bố parky mang con chữ vào cho chúng mày đấy. K giờ này chúng mày vẫn là nô lệ cho Mỷ thôiiiiii. ;))))) còn tao chửi thằng Nam Định quên tổ tông kìa :))))) lew lew,1877
"Minh Tân ờ phải rồi, cái gì cũng của các bố tất, giống y hệt tàu khựa, cái gì cũng nhận là của nó. Chỉ có cái mất dạy, bố láo là nó ko nhận thôi, phải ko packy",1878
