text,ID
thầy này ở đại tùng lâm- vũng tàu. chùa chuyên nuôi ng già niệm phật. hơn 2000 cụ già neo đơn ở rồi; k đủ chỗ ở đang xây thêm.,1
nhìn mặt và cái miệng cười thấy hãi hùng quá tâm luôn nghĩ ; hướng về vật chất ; tiền bạc vậy sao có thể tĩnh tâm tu thành chính quả được ???,2
"khầy "" giỏi "" quá .",3
 username  dử chưa,4
tui nhìn mặt thầy thấy hong có hậu chút nào luôn trời,5
 username  mồm rộng thế cơ mà,6
 username  thời của mấy ông thầy thích cúng dường này tới rồi,7
 username  khầy thiếu mấy căn mặt tiền cho gia đình nên ráng chạy đủ kpi,8
 username  mồm rộng ăn dữ lắm,9
" username  có hậu mà bạn;mà là ""hậu quả khôn luờng""",10
 username  dạo gần đây thầy cứ live miết,11
 username  nét nẹt luôn bác,12
 username  chứ không phải hậu môn hả bạn,13
 username  nhìn thấy không thuyết pháp xàm xí gì đâu,14
 username  hậu môn á….,15
 username  có hậu môn mà bạn,16
 username  những người lợi hở  username  này thiên hạ không ai muốn chơi .,17
thợ tu thích chuyển khoản,18
cho cái pháp bảo ruột nồi cơm điện của thầy minh tuệ vào mồm thằng thợ tu này :)),19
 username  để người người ta còn bưng đi quá duyên ngày bữa cơm ông ơi...đập vô hư uổng..!!,20
nhìn mặt là biết rồi . uy tín quá mà,21
 username  chuẩn..nhìn mặt hắn đã hiện rõ sự nham hiểm; cứ dã man on ngan á,22
 username  sinh vũ tâm sinh tướng,23
chuyển thành thích đớp cứt cho nhanh.,24
 username  pháp danh thích hốc cứt,25
thằng này ngày trước hay nhậu ở cmt8 q1,26
 username  ngày trước là bao lâu rồi b,27
 username  đúng r thầy có kể . ngày xưa làm bếp bạn bè rủ nhậu . báo nói thầy trụ trì ở daklak đâu có phải .chùa thầy ở vũng tàu mà . cũng có phải tên khánh đâu . thầy tên  username  mà,28
 username  coi chừng có phát hiện thêm cái mới giật gân nữa,29
nụ cười nham nhở,30
 username  nói bắn cả nước bọt nhìn ghê chết!,31
 username  công nhận nhìn khuôn mặt;nụ cười;hàm răng ..nham nhở sợ vãi lun,32
kkk. cứ ting ting liên tục thì thầy k ngậm đc mồm lại luôn. kkk,33
 username  bởi vậy thầy cười suối luôn,34
khổ cho người dân mình quá.!!!,35
 username  người dân sao mà khổ. nó có ép phải chuyển cho nó đâu. mê muội thì mất tiền. khổ gì,36
trần văn  username  họ không éo.  username ng với những lời lẽ  username  vậy thì ngay cả tôi và bạn cũng khó từ chối !!!,37
 username  thôi tu ở trong tâm đc rồi bác thắp hương thắp khói tại gia thôi chùa c username  làm gì giờ toàn ma tăng,38
trần văn  username ,39
 username  . khổ tự vác vào mình chứ. vì mê muôi thì ai cản được.,40
nhìn mặt thầy sao ko thấy có hậu chút nào lun ak trời,41
ớn mấy thầy thích chuyển khoản này quá,42
khó thế mà thầy cũng làm đc,43
 username  suy nghĩ mãi mới ra đó chứ ...kaka,44
 username  chuyến này thất thu :)),45
quá đáng sợ; thời mạc pháp tới thật rồi; rất hoang mang dù con cũng là đệ tử nhà phật đã quy y có pháp danh và giờ đây con thà tin vào các tượng phật linh thiêng tin vào các bài giảng trên trang giấy chứ con không bao giờ dám tin các thầy online. nam m… see more,46
thật sự là cũng do bọn chúng cạnh tranh nhau; đua nhau đưa lên mạng những đoạn thuyết giảng nên thành ra nó mới lòi ra được trình độ học thức trong chất lượng bài giảng của nó. những cái bài giảng đó thật sự là nó khiến cho người dân thấy vô cùng hoang… see more,47
nhận máy mà ko chuyển khoản là nợ nhân quả tới liền nha phật tử,48
ông này gọi thích nhận tiền; bây giờ có một số nhà sư làm bẩn cửa phật ; tại sao giáo hội phật giáo ko loại bỏ những thành phần này đi nhỉ,49
không phải  username  báo pl nói trụ trì chùa lâm tì ni ở daklak đâu; thầy trụ trì tổ đình hộ pháp phú mỹ; bà rịa vt. thầy thích chuyển khoản lắm.,50
chuyện nhỏ ;chỉ là cái số tài khoản thôi ;chuyện đơn giản có thế thôi mà thí chủ cũng đưa lên facebook đã bảo tùy tâm rồi mà,51
 username  thầy thích đủ thứ không nói thì ai biết tật xấu,52
 username  chuyện thế thôi mờ,53
thấy cái mặt tên này không có đức tý nào;tên này đi làm hề cho các gánh xiếc thì đúng hơn,54
có bài hết..khầy thật cao minh..,55
ngày càng mất niềm tin vào các thầy. dẫu biết rằng đâu đó vẫn có rất nhiều thầy thật,56
bố tổ loạn vì tiền rồi,57
ôi nụ cười  username  cái icon này luôn :))),58
khầy củng có sáng kiến hơn mấy khầy kia nhỉ,59
 username  mấy thầy kia kb zalo viber hết r; có stk hết r; k cần ghi ra danh thiếp,60
thầy thích massage đây mà,61
cười 1 cái bay phước luôn tr ui,62
thôi  username  ơi; mình chuyển qua sân khấu sài gòn tếu làm nghề chân chính đi  username  ơi! chứ làm vậy kỳ lắm,63
nói về luật nhân quả thì những người bôn ba kiếm ăn ngoài đời mới là những ng từng trải nhiều nhất. và họ xảy ra nhiều áp lực + có những kinh nghiệm trải đời nhiều nhất. tại sao mn phải đi nge luật nhân quả từ những ng thợ tu chỉ biết ngồi trong chùa n… see more,64
nhìn quả mõm là biết đớp thì thôi roof,65
ối dồi ôi :)))))),66
vụ này không thấy giáo hội phật giáo lên  username g,67
 username  ờ ? ? ?,68
 username  nếu đánh vào 1 phát ; là đi cả đoàn sao? đốt lò chưa đc; cứ từ từ,69
bố cũng lậy thầy,70
mất niềm.teen thế nhỉ,71
có luôn hả,72
nhìn mặt ổng không thấy thiện cảm gì cả,73
kkk,74
cũng đáng thôi; u mê thì ráng chịu trách chi ai,75
tình hình này không còn biết tin ai nữa. thầy tu sao còn làm những điều khó chấp nhận  username  vậy.,76
mặt thằng này trông đê tiện thật,77
 username  chuẩn,78
thầy ông cố,79
mặt ông này dâm nhất trong các khầy,80
 username  nói nhỏ thôi em; khầy ngại,81
hãi cái “luật nhân quả” của các “thích”,82
thick nhận bút,83
thick chơi sang,84
thầy trò (!) j mấy loại này,85
thèn cha mỏ tà la  username  lol trâu,86
kinh doanh phật; đây là những nhà kinh doanh tài ba ; giả ăn chay; cạo tóc vào chùa thuyết giảng vậy là kinh doanh làm tiền được các phật tử hướng phật (xu thế ngày càng đông),87
 username  gọi cách khác là các thầy đang chạy nước rút để làm đại gia trong làng thợ tu trước khi mắt mờ chân tay chậm về quê chăn rau thả bướm,88
đi tu giờ là nghề kiếm tiền cũng  username  bao nhiêu nghành nghề khác thôi nên bản chất chủ yếu là kiếm tiền,89
siêu ma tăng ! tu chùa nào vậy ?,90
 username  hộ pháp vũng tàu,91
thích nhặt tiền,92
chưa bao giờ thầy tu bị bốc phốt nhiều  username  bây giờ !,93
mình đang nợ 2.tỷ ;giờ mình cúng 2.tỷ tiền nợ đó cho thầy thầy có nhận ko nhỉ,94
thật ra cúng dường với tâm phụng sự tam bảo là rất tốt; bạn cúng bao nhiêu tuỳ tâm hộ trì phật pháp phát triển. đừng viết những bài tiêu đề  username  vậy; làm cho đạo phật trong lòng mọi người ngày càng xấu đi.,95
 username  thế nói luôn bán tùy tâm toàn dựa vào phật mới tiền dân,96
 username  nói  username  bạn thì quá tiêu cực; phật tử có người này người kia; người nào có mà phát tâm thì cúng; để các thầy lấy đó làm phật sự; mở các khoá tu lo cơm nước cho cả ngàn người về tu tập; hỗ trợ các thầy trẻ mới lên đi học hành. mình chỉ nói theo … see more,97
