comments,nametag
vậy trường đó là đóng góp quỹ cho bọn chó bên cali à,
Sự nghiệp ở việt nam coi như chim cút,
Nguyễn Trung anh em phải làm mạnh tay và triệt để lên,Nguyễn Trung
"Cách giải quyết đơn giản nhất thì cứ viết to đùng lên là đcsvn quang vinh muôn năm là xong mà nhỉ, giải thích làm đ j",
"Linh Ngọc Phạm làm gì dám :)))
la lên cái mất cơm ngay",Linh Ngọc Phạm
Dũng Nguyễn nếu nói mất chén cơm thì thị trường trong nước vẫn gấp tỷ lần thị trường ở hải ngoại. Lâu lâu vài chuyến lưu diễn nhưng thu nhập chính là ở VN.,Dũng Nguyễn
Dũng Nguyễn cái chính là ả theo ngụy sẵn rồi chứ không phải sợ mất chén cơm hay không. Về Việt Nam đi hát còn có ăn chứ lò dò đi theo mấy thằng chống gậy bên kia có mà chết đói,Dũng Nguyễn
Chú Hề Chuẩn. nó còn mới ăn mừng dc nhập quốc tịch mẽo kìa,Chú Hề
Linh Ngọc Phạm để làm gì?,Linh Ngọc Phạm
Bùi Thanh Phát bắt nó chọn phe chứ đừng có nhì nhằng,Bùi Thanh Phát
Trần Tiến Đạt để làm gì?,Trần Tiến Đạt
Bùi Thanh Phát phải chọn phe đi để giải quyết luôn 1 thể chứ chơi trò chân đứng 2 thuyền vậy thì hèn lắm,Bùi Thanh Phát
"Chú Hề ờ thì kệ nó, việc mình làm cứ làm tốt",Chú Hề
"Bùi Thanh Phát đúng việc mình là sống theo pháp luật, bài trừ cái xấu, lên án cái sai.
Ả ta ăn cơm cộng sản thờ ma cộng hòa là cái sai thứ nhất.
Cái sai thứ 2 là ả chọn cái phe đã từng khủng bố Việt Nam nhiều lần, gây rối sự ổn định ở Việt Nam … See more",Bùi Thanh Phát
"Chú Hề vỗ khen khen ngợi, ăn no mai bài trừ cái xấu tiếp nha",Chú Hề
"Bùi Thanh Phát đương nhiên phải làm chứ :)))
Thấy cái sai vẫn ngồi nghiễm nhiên chấp nhận thì loại đó bỏ sọt rác, giặc tới xách balo chạy trước à",Bùi Thanh Phát
Chú Hề chúc chú đánh giặc online thành công nhé,Chú Hề
"Bùi Thanh Phát 3que ăn cứt, cút",Bùi Thanh Phát
Bùi Thanh Phát ĐẢNG CỘNG SẢN VIỆT NAM QUANG VINH MUÔN NĂM,Bùi Thanh Phát
