label,comments,id
4,tăng cân quá đà+style ăn mặc như phụ nữ trung niên.hồi thi MU đẹp lắm mà sao giờ kỳ zẫy,2
0, username  người ta bệnh dùng thuốc,3
2,"Ở Việt Nam mình là chúa body shaming người khác. Hình mẫu lý tưởng của ng Việt Nam! Chỉ là ốm roi roi chứ còn mà đô theo kiểu gymer hay tròn trịa và mập là bị đem ra soi ngay mỗi cái đẹp có 1 hình mẫu khác nhau mà ít ai hỉu điều đó",4
0, username  Tác hại của việc xem Kpop và tiktok quá nhiều,5
2," username  k hiểu sao lúc là con nít mảnh mảnh gọn gọn cũng bị quở kêu là suy dinh dưởng, múp tròn mới đúng chuẩn, xong lớn lên thì kêu thanh mảnh mới đúng chuẩn chứ tròn múp là mập xấu. Đúng là miệng đời k biết sao cho vừa",6
0," username  10đ làm mẹ luôn c ơi. Mà nuôi con gái còn ác nữa. lúc còn bé thì bắt múp múp mới dừa, mà lớn lên cấp 3 -đại học thì bắt ngta thon. Ủa gì mà ác",7
0," username  chuẩn c ơi. Nó còi thì chê còi xương, nó múp múp tí thì nhiều ông nhiều bà kêu béo thế giảm cân. Con nít con nôi giảm cân cái gì ko biết.",8
4," username  xấu thì bảo là xấu, shaming cái quái gì",9
2," username  bảo người ta xấu là shaming đấy :))) bản thân mình lấy cái quyền gì mà đi chê? Không nuôi được người ta ngày nào, cũng không phải trúa tể nắm quyền quyết định số phận của người khác nhưng lại rất thích oang oang cái mồm để chê",10
2, username  lôi mấy cái bài học giả tạo của phương Tây ra để tỏ ra thượng đẳng à? Cũng là nô lệ tinh thần thôi,11
2," username  =)))) bản thân sống với cái tư duy khuyết tật riết rồi cứ hễ có cái gì văn minh tiến bộ hơn thì lại bảo là bài học giả tạo. Văn vẻ nó vừa thôi, thích dùng từ hoa mĩ thì trước hết chuẩn bị cho mình một tâm hồn đẹp và một cái nết",12
2," username  đầu nghĩ là xấu, mồm thấy nói là đẹp là văn minh à? Đầu tiên cứ chân thành đi đã. 1 xã hội ai cũng phải khen người khác là kiểu gì. Văn vở toàn rẻ tiền lắm!",13
2," username  chân thành nó khác với vô duyên. Chẳng thà người ta bỏ bê bản thân, mình đến mình góp ý bảo m nên chú ý đến sức khỏe thì đấy mới là chân thành. Còn cái kiểu tính nết khó ưa mồm miệng choen choét như bãi phân mà tưởng mình thanh cao",14
0, username  thôi ở nơi k thích nghe lời thật nói cũng vô ích. Sự thật mất lòng là câu của các cụ nhưng đám con cháu bgio thích khen hơn!,15
2, username  nói thêm là toàn từ ngữ bẩn thỉu trên môi đọc thấy ngại thay :)),16
2, username  chê thì cái vương miện vẫn an ổn mà toạ vị trên đầu cô ấy thôi:)))) vả lại làm người không làm được hành động hay nói được câu nào tử tế thì ngậm cái mõm lại đi:))) bạn cũng chả nuôi được người ta ngày nào đâu mà có quyền toxic với họ,18
2, username  ngta bị bệnh uống thuốc nó để lại td phụ chứ có muốn v đâu ? Ko nói đc lời nào tử tế thì ngậm mẹ mồm vào,19
0,"Cô ấy bị bệnh nên mập, có thể chấp nhận được",20
2," username  Ui đúng rồi b. Nhiều người thấy đô kiểu gymer là chê thô này thô kia. Ốm thì nói sao ốm vậy, mập lên mới xinh. Tròn xíu thì nay sao mập vậy, ăn gì mập vậy,… Vô duyên kinh khủng. Chủ yếu muốn chê người khác để thoả mãn bản thân.",21
2," username  không liên quan lắm tới dụ body bà này. Nhưng mà body shamming ở nước nào hông có mắc gì lôi mình nước tao vô rồi kêu ""chúa"" vậy. Qua Trung hay Hàn quá 55kg coi nó nói ra sao.",22
2, username  đàn ông thì bớt cái mồm lại không người ta gọi là chị đấy,24
1, username  đâu người ta bảo là thằng loz chứ ai kêu chị bạn ơi :))),25
4, username  béo thì người ta bảo béo. Việc lol gì mà cứ phải sồn sồn lên . Chả lẽ bảo gầy.,26
4,Ngọc Sơn ko có mắt ah b. Béo thế này mà bảo gầy,27
2," username  cái loại đàn ông như mày chỉ được cái cãi ngang phúc đức mười mấy đời mới cưới được cái loại đàn ông vô văn hoá mở mồm ra là tục tĩu chỉ được cái đạo lí là nhanh ,xúc phạm phụ nữ đúng là đặc sản của loại đàn ông như mày con ạ",28
4, username  đkm mày. Béo thì bảo là béo. Mày mù ah mà k nhìn thấy. Ngu dốt còn mở mồm ra nói,29
2, username  ai ngu dốt ? Xem cách hành xử của mình đi rồi phán người khác ngu với chả dốt,30
2, username  thì mày chứ ai. Mù hay sao mà k thấy béo. Chả lẽ tao bảo gầy thế.,31
2, username  ít ra người ta ăn nói lịch sự có trí thức chứ không lộn cổ lên đi phán xét người khác loại đàn ông hăm dái,32
0, username  béo thì liên quan gì,33
4, username  béo thế. Béo thế. Béo thế. Ok.,34
3, username  nước đổ đầu đàn ông miền bắc,35
1, username  tao đéo mù nên có sao nói vậy. Ok,36
0, username  có mắt nhưng mất não,37
1," username  não tao vẫn ổn lắm, mắt tinh lắm để biết đâu đà béo là gầy. Đéo như một vài thành phần",38
0, username  thành phần có học ?,39
0,Giải cứu Harnaaz khỏi tay sì gai lít quốc dân Trần Đọt,40
0,Chắc mỗi mình thấy đẹp.. vì gu mình mũm mĩm cơ,41
4,"mắt thằng sờ tai loét chắc bị lác. ác với bà thật chứ",42
2,"Qua VN ko mặc được bộ đồ nào ra hồn , cái áo dài lúc chiều bả vs cat mặc t còn tưởng trang phục ấn độ",43
1,"K thích KD lắm , nhưng nếu KD mà cỡ c này chắc tụi nó tế bả 6 ngày 6 đêm quábữa live có nhìu cmt khiếm nhã về cơ thể bả nhìn vô duyên vl",44
0," username  đúng rồi, bây giờ KD mà to lên đi thi ms thì ko có vị trí nào luôn nha, ngta giữ body tốt đi thi để đăng quang còn sau đó thì là trách nhiệm của hoa hậu thôi, nhìn lại vị trí của Thái Lan cùng năm xem body như thế thì ở vị trí nào",45
2,Lỗi do sờ tai luýp nè. Chơi ác ghê,47
0,muốn chê người khác thì phải coi họ trải qua những j r hãy phán xét,48
0,"Chị kêu tăng cân là do bị bệnh mà trời, sao thích body shaming ngta v",49
0,Ai mặc nọng lái lai,50
0,Body đẹp quá,51
0,"Bên Ấn hình như thích ntn á. Như vậy mới đẹp. Cơ mà đẹp thật mà.",52
0, username  Do chị bị bệnh á b nên mới bị tăng cân như này nè,53
0, username  à giống Selena Gomez. Mặt xinh ghê,54
0,"Người ta tăng cân là do bệnh chứ đâu phải buông thả bản thân đâu ! Ít nhất bạn ấy vẫn xinh đẹp, thông minh và là đương kim Hoa Hậu Hoàn Vũ 2021 ! Rồi ai "" miệt thị "" ngoại hình người ta có đủ xinh đẹp, thông minh và được làm Miss Universe không nè hay",55
2," username  có buông thả ko ai mà biết đc, nhiều khi bệnh 1 phần rồi ăn nhiều 1 phần thì sao, ô nội t cũng ko biết nữa.",57
0, username  Chắc là bệnh thật đấy vì đây là hh đương nhiệm đang phải gánh vác rất nhiều việc và xuất hiện trước công chúng thường xuyên. Lỡ truyền thông mà biết nói xạo thì toi luôn còn gì là mặt mũi hh thế giới nữa!,58
2, username  rồi m ko biết có đúng hay ko chưa gì đã body shaming người ta vậy? Nói dân trí thấp lại tự ái,59
2," username  vậy anh có biết có một vài bệnh khi dùng thuốc sẽ kích thích ăn uống và gây giữ nước phù người không ạ? Nói anh thiển cận cũng không sai đâu, đừng có lôi ông nội anh ra ạ :)))))",60
2, username  chưa thấy trường hợp nào ngu như mi. Cái thứ phá hoại thiếu kiến thức đạo đức nhân cách trí tuệ trà trộn vào gr sắc đẹp như mi mới là bệnh đó nha haa,61
2, username  nó vs con Bee Campbell chuyên chê thậm tệ các MU thời IMG đưa ô Trump lên bàn thờ. Mà tụi nó đâu biết thời Trump các hoa hậu chỉ là công cụ kiếm tiền cho ngài tỷ phú đô la. Còn thời IMG các hoa hậu được nâng lên một tầm cao mới,62
0, username  m search thử Celiac disease r xem nó f up hệ tiêu hóa của ng ta ntn r làm khó giảm cân ntn. Chưa kể nếu mà buông thả thì cũng k tới lượt ng khác sỉ,63
0,Đẹp vậy chê gì nữa mấy cha nụi,64
4,Hoa hậu mặt nọng,65
0, username  Duyên dữ chị gái,66
0, username  ngta bị bệnh nên tăng cân bạn ơi,67
0," username  vậy à,mình k biết nên đùa tí",68
1, username  đùa đéo vui :)),70
4, username  M xem xung quanh có ai vui cùng m không? :)) Đã không được đẹp thì phải có duyên. :)) Đây đ được cả 2 còn la làng lên cho ngta biết,71
2, username  T đ việc gì phải lượn :)) Đàn ông đàn ang đ gì thời này còn đi body shaming phụ nữ :)) Sống trong rừng rú nó quen.,72
0,"Sao bã ú lên mà mặt vẫn nhỏ v ta, ước gì mình ú mà mặt dc 1 phần như bã luôn ó, ko chê vào đâu dc",73
0,Vẫn đẹp và vẫn toát ra khí chất của 1 beauty queen!!! Do bả bị bệnh nên tăng cân thôi chứ có phải kiểu ăn nhiều rồi buông thả bản thân cho phát phì đâu mà vô bdsm bả. Cũng chẳng có lí do gì mà đang là đương kim HHHV bả lại muốn cho cơ thể mình như vậy,74
4,"Harnnaz bị bệnh nên hơi tròn chứ không phải ăn phủ phê nên béo đâu mng. Còn Uni nên dẹp Trần Đạt dô kho dùm luôn, stylist cái quằn gì mà cho mặc đồ thấy góm, Hen, KVân, KDuyên.. mặc đồ nhìu lúc ta nói nó xu mà lâu lâu đạo nhái nữa",75
4,ai đó làm ơn tiễn dong Xì tai lái quất dân Chần Đẹc ra khởi cái sở thú Uni dùm,76
0,Ai chọn bộ quần áo này vậy trời,77
0,mũm mỉm đẹp ghê,78
0,"Ủa hoa hậu gì mà ăn uống thấy sợ không kiểm soát cân nặng vậy mà cũng đòi chấm hoa hậu, có cần thiều bảo trâM dạy 1 khoá giữ dáng không chị, chứ nhục quá",79
0, username  bạn ơi cô ấy bệnh nên tăng cân bạn ạ. Cô ấy vẫn đẹp và truyền thông điệp tự tin vào bản thân cho tất cả ạ,80
0, username  sau đăng quang mới mắc bệnh ah b,81
0," username  Đúng r ạ. Sau đăng quang 1 tgian là cổ bệnh, uống thuốc nó phù người ra ấy ạ",82
0, username  trước đăng quang bị rui b ơi..,83
0, username  Ủa v sao b. Tại lúc cổ đăng quang đến 1 tgian sau vẫn còn cân đối đẹp lắm. Z mà m tưởng cổ bệnh sau nì,84
0, username  trước đăng quang bị rui b ạ. Thế mới nói. Bà này vào thời Trump là xác định rui,85
0," username  Nếu vào thời trump chắc vẫn đăng quang, bả đẹp vs thông minh gì đâu v mà. Nhma nếu v thì đoạn sau có vẻ khá cực. Happy là bây h tiêu chí thay đổi nên bả vẫn là 1 MU tốt hehe",86
0, username  trước đăng quang bạn này đã bệnh rồi nhưng có lẽ chưa khiến tăng cân nhìu như sau này,87
0, username  chính xác,88
0, username  có nhiều loại thuốc gây tăng cân lắm. Mình mất ngủ uống nhiều thuốc và thực phẩm chức năng điều trị cũng khiến người bị tích nước đấy ạ. Nói chung đôi khi chúng ta nên dễ dàng hơn với cân nặng phụ nữ vì thật sự có những chuyện nằm ngoài tầm kiểm soát,89
0,"giống chị Gít Nây của em khum username ",90
0," username  Ờ, giống thiệt",91
0,"Xinh mà, béo chỗ nào?",92
0,Vẫn đẹp nhé,93
0,Đẹp như Dương Quý Phi trong tứ đại mỹ nhân còn gì,94
0,"Thật ra chị tăng kg nếu ai là fan của MU thì đều biết, quan trọng là muốn chửi thằng cho chị mặc bộ kia thôi",95
0,Ai nói gì nói chị đây nhan sắc tầm quốc tế,96
2,Ủa mấy đứa mà chê ngta nhắm nữa con cháu tụi bây y rang vậy r bị shaming coi tụi m đào mồ cuốc mả ngta lên chửi ko. Giờ chê ng khác 1 thì ráng tích đức cái mỏ lại 10 để thôi nghiệp tới lẹ lắm mấy cđl ơi,97
