usernames,comments,total_react,Like,Haha,Care,Love,Wow,Angry,Sad
Nguyễn Quang Vinh ✅,"Parky thì chả có gì cả.
Vấn đề là ở bọn 3/ Cali con hay pbvm thôi",117,85,31,0,0,1,0,0
Đỗ Lâm,"Nguyễn Quang Vinh
t người Nam Định MB đây còn ghét tụi parky",8,1,7,0,0,0,0,0
Trần Quốc Huy,Đỗ Lâm thg ngu l =))),1,1,0,0,0,0,0,0
Đào Duy Đại,Đỗ Lâm djt con cụ m,0,0,0,0,0,0,0,0
Tú Tống,Đỗ Lâm bố mẹ m sẽ tự hào lắm vì đẻ rách l ra đứa con hỏng,0,0,0,0,0,0,0,0
Đỗ Lâm,Tú Tống t ghét parky bò đỏ chứ có liên quan đế n MB à cu,4,4,0,0,0,0,0,0
Minh Tân,Đỗ Lâm thế là mày ghét cả tổ tông nhà mày à. Về đập mẹ bàn thờ đi. Ngồi trên bàn thờ nhà mày toàn parky đó ;)))) tổ tông nhà mày toàn Bắc 54,2,2,0,0,0,0,0,0
Mḁņħ Måƿ Mḁƿ,Đỗ Lâm loại mày ăn gì mà ngu thế sống làm gì cho chật đất,0,0,0,0,0,0,0,0
Đào Hiếu,"Đỗ Lâm bò đỏ liên quan đếu gì bắc kì ????
Bắc kì để chỉ miền bắc theo cách gọi thời pháp cụ ạ",0,0,0,0,0,0,0,0
Không Có Tên,Đỗ Lâm sao rồi b.bị chó dí dữ vậy hả,0,0,0,0,0,0,0,0
Duy Nqp,"Minh Tân tổ tông nào toàn packy vậy? VN có 54 dân tộc nha, người miền nam có rất nhiều nguồn gốc, từ người hoa, người chăm... Còn nói về nguồn gốc thì tàu khựa là tổ tông của packy đó, sao ko lập bàn thờ thờ tụi nó đi, ngu mà còn hay nói.",2,2,0,0,0,0,0,0
Minh Tân,Duy Nqp mày đang nói và viết bằng tiếng gì hả thằng đần ;))))) miền nam mù chữ các bố parky mang con chữ vào cho chúng mày đấy. K giờ này chúng mày vẫn là nô lệ cho Mỷ thôiiiiii. ;))))) còn tao chửi thằng Nam Định quên tổ tông kìa :))))) lew lew,1,0,0,0,0,0,1,0
Duy Nqp,"Minh Tân ờ phải rồi, cái gì cũng của các bố tất, giống y hệt tàu khựa, cái gì cũng nhận là của nó. Chỉ có cái mất dạy, bố láo là nó ko nhận thôi, phải ko packy",2,2,0,0,0,0,0,0
Minh Tân,Duy Nqp chả phải thì sao :))))) chúng mày đang viết và nói chữ quốc ngữ đấy. Uống nước nhớ nguồn đi. Đừng ăn cứt đá bô.,0,0,0,0,0,0,0,0
Duy Nqp,"Minh Tân biết chữ quốc ngữ ở đâu ra ko, nói chuyện ngu như bò mà còn tỏ ra nguy hiểm, vcl thiệt.
Chữ quốc ngữ do tu sỹ châu âu sáng tạo ra, rồi truyền vào đàn trong, lúc đó ngoài bắc dốt bỏ mẹ ra, đã dốt còn bày đặt dạy đời, ngu",2,2,0,0,0,0,0,0
Minh Tân,Duy Nqp cái diss. :))))) đến phút này tao khẳng định mày ngu bẩm sinh. Chứ luyện tập thì đéo thằng nào ngu bằng mày :)))))),0,0,0,0,0,0,0,0
Duy Nqp,"Minh Tân thật là hãm, chắc mày nghĩ Bác Hồ tạo ra chức quốc ngữ xong mang vào miền nam dạy quá. Nói thế thì biết nó ngu từ gốc rồi, đúng là bản chất éo sai được.",2,2,0,0,0,0,0,0
Trịnh Quoc Anh,Đỗ Lâm mày ở chỗ nào Nam Định,0,0,0,0,0,0,0,0
Đỗ Lâm,"Trịnh Quoc Anh t Giao Lạc ,Giao Thủy nè cu",0,0,0,0,0,0,0,0
Trịnh Quoc Anh,Đỗ Lâm buồn cho bố mẹ mày quá,0,0,0,0,0,0,0,0
Đỗ Lâm,Trịnh Quoc Anh thế à cu,0,0,0,0,0,0,0,0
Phúc An Nhã,Trịnh Quoc Anh Parky à,0,0,0,0,0,0,0,0
Phát Nguyễn,Duy Nqp qá hay,0,0,0,0,0,0,0,0
Phát Nguyễn,Minh Tân mù chữ cmm thời pháp mẹ cha tao đã đc học chữ rồi k biết im mồm thằng parky tỏ vẻ ta hiểu biết nhưng thật ra đel biết cái đách gì cả,0,0,0,0,0,0,0,0
Hoàng Quốc Huy,Đỗ Lâm tự đ ái vào mồm à ?,0,0,0,0,0,0,0,0
Kòy Saker,"Đỗ Lâm tao là vện cali gốc namkiki đây còn ghét bọn cali với namkiki đây này, mày ăn thua éo gì",0,0,0,0,0,0,0,0
Vo Hoang Phu,"Nguyễn Quang Vinh
mẹ",22,1,21,0,0,0,0,0
Nguyễn Quang Vinh ✅,Vo Hoang Phu cha,0,0,0,0,0,0,0,0
Trần Văn Quyền,Vo Hoang Phu miền Bắc năm 54 rồi :))),0,0,0,0,0,0,0,0
Nguyễn Quang Vinh ✅,"Trần Văn Quyền gốc bắc 2k ạ
. 54 chỉ có bọn cali con thôi .",0,0,0,0,0,0,0,0
Đoàn Văn Tâm,Vo Hoang Phu nằm vùng đấy :d,0,0,0,0,0,0,0,0
Trương Vĩnh Chánh,"Nguyễn Quang Vinh
backy con xuống nam kỳ ăn tàn dư Mỹ ngụy",1,1,0,0,0,0,0,0
Khương,"Nguyễn Quang Vinh
k vấn đề nhưng nói tới cái đong đỏng nhảy mún tới nóc nhà",110,37,70,1,1,1,0,0
Nguyễn Quang Vinh ✅,Khương chả có gì phải nhảy cả . Chỉ là cách nói nghe ngứa tai nên ghét thôi b ạ. Chứ bk hay nk cũng như nhau thôi .,26,20,5,0,1,0,0,0
Anh Hoang Do,Khương 3 cây nhang mới là nhảy dựng kk,8,5,3,0,0,0,0,0
Hoàng Tuấn Dương,"Khương nốc nhà là cái đéo gì, nóc nhà, nói ngọng thì còn được chứ viết cũng ngọng được còn bày đặt đi chửi nhau :))",4,2,2,0,0,0,0,0
Trần Đức Dương,Khương căn bản nhiều thg lôi từ đấy ra nói theo kiểu phân biệt thì ông động vào làm cái gì đùa với bạn bè không sao tôi quen mấy ae trong nam cùng chửi đme n k bọn nó cũng ddumaaa b k nhưng là vui đúng lúc đúng chỗ ae cười với nhau chứ ko phải ai cũng lôi ra đùa thế được,2,0,1,1,0,0,0,0
Khương,"Hoàng Tuấn Dương chửi ai đâu bạn ơi, từ nào là chửi dị he, giọng điệu này chắc bạn là ấy ấy rồi",0,0,0,0,0,0,0,0
Hoàng Tuấn Dương,:))))) dị he là cái đéo gì nữa :))) nói tiếng việt dùm tao đi được không,0,0,0,0,0,0,0,0
