label,comments,ID
0,thề xuanpac trận nào cũng tấu hề,0
0,mặt cũng hài cơ,1
2,các bạn trẻ nghĩ 5 triệu bé quá nhỉ. các bạn làm ra được 1 tháng bao nhiêu. mà dám ở đó phán xét ( 5 triệu ). các bạn thử lấy thêm vk nữa và có con riêng xem. rồi sẽ hiểu 5 triệu nó = bao nhiêu,4
0,"thề, vừa đọc khúc đầu tính chửi rồi đoá",5
2,"5tr k bé cho dù b kiếm tiền tỉ nhưng con của b mà b k nhận, chu cấp đc 5tr 1 tháng đc 2 3 tháng thì ngừng thì đáng bị lên án",6
0,5tr ở thành phố thì đủ mua bỉm thôi nhá,7
0,suy nghĩ sâu xa chút đi em rai,8
2,5tr có tháng có tháng không h ngừng luôn r đc bnhieu lâu,9
1,"nói nhiều quá phải t , t còn ngừng lâu rồi :)) làm lox gì được nó đâu",10
0,a zai lấy vợ chưa mà chia sẽ hay vậy ,13
0,mình cũng ở hoàn cảnh đó b à.,14
0,bé tí luôn chứ chả bé cái gì t 2 con 5tr k đủ đi sữa tiêm bỉm,15
0,"t 1 tháng tiền học đã gần 5 triệu r. chưa tính bỉm sữa, ốm đau. không hiểu sao họ nghĩ 5 triệu bé",16
0,"để ngta mới sinh chu cấp đc 5tr cũng khiếp,kiếm tiền tỉ cho con 5tr mà h còn đâu chu cấp 3-4 xong bỏ",17
2,một tháng nó kiếm cx chả dưới 100 đâu  nuôi 5tr chửi cho chả đúng,18
0,"100 triệu hay 200 triệu nó không phải vấn đề. mà là bạn phải có thêm vk nữa và con riêng , b mới hiểu chu cấp cho vk cũ + con nó như thế nào. cơm áo gạo tiền nó khó lắm chứ. đối nội ngoại 2 bên nữa",19
2,1-200tr k phải vấn đề mà ông vẫn nói đc câu cho con 5tr là đc r  hay đấy,20
2,"a rể mình cũg ngoại tình , về bỏ vợ và 2 con , h lấy vợ mới nuôi con ngta , cho mẹ ruột thuê nhà khác ở riêng giờ suốt ngày nợ chu cấp , vậy a đó khổ",21
0,"hay chị gái mình khổ , bn năm vất vả lo toan gdinh giờ tay trắg . ng chọn con đường sai ko nên đổ lỗi cho hoàn cảnh",22
2,ủa ô ơi.vậy ai chăm con.ô đi làm cả tháng rảnh cho con ô 5tr.vậy ô ko tính vk ô nghỉ làm chăm con.thế ốm đau hay những ngày con ko đi học vk ô pải nghỉ làm để trông con.sao ô lại suy nghĩ nthe nhỉ,23
0,đừng lấy  username kiến cá  username  nói nữa bạn.cố suy xét hoàn cảnh ý,24
2,chả ai nói 5tr nhỏ. cái ngta nói là câu c username ện đằng sau đó. sao cứ phải lên giọng trịch thượng trong khi còn ko hiểu rõ cái vấn đề????,25
2,r bạn nghỉ 1 đứa con gái vừa làm nuôi con mà có nhận đc trợ cấp có 5tr bạn nghỉ 5tr đó to quá nuôi tốt 1 đứa trẻ à,26
0,ngta nói là 5tr so sánh với thu nhập cao của jack chứ ko ai phán xét số 5tr đó ít hay nh. nuôi con chẳng bh là đủ cả nếu muốn con bằng bạn bằng bè,27
0,"công dân  username  thường thì ai nói bác ơi…quả này là hót họt ngta mới đáng nhắc tới chứ bác..bác căng thế,",28
2,"chấp làm gì đám thanh niên tik tok này hả bác  chắc j tụi nó chửi bới ở đây, tháng làm ra đc nổi 5tr chứ ",29
0,căn bản lượng thu nhập là bao nhiêu m kiếm vài trăm tr một tháng chu cấp cho con vỏn vẹn 5tr ở thành phố lớn 5tr ko đủ tiền sinh hoạt cho trẻ,30
0,người ta giáp người ta bảo nuôi con năm triệu của ai đó nhưng ngt có chê 5 triệu đó bé đâu,31
0,vậy b có con chưa b ơi.chưa kể lúc ốm đau hay con đi viện bạn nhỉ.tiền sữa ăn học ko cũng 5tr nhé.,33
1,""" thử đi lấy vợ rồi có con riêng xem "" ? về bảo bố m vậy nhá",34
2,5  username  = 1 jack đó ạ,35
2,ông cháu k biết cái gì cả.bó ra bao nhiêu tiền gặp messi nhưng nuôi con 5tr 1 tháng,36
0,"vậy chắc bạn rất vất vả ms kiếm dc 5tr nên b nghĩ nó to , tôi nghèo nhưg 1 tháng 2 con hơn chục k đủ lo cho con b nhé",37
0,ko biết vụ messi với jack à fen,42
0,jack lấy hình ảnh messi vào mv khi k xin phép đó,43
0,"sai r bn, câu đấy là câu để chốt là win r ý, câu trc ""xg vụ này ik"" là  username  màn rap ý bn, vừa vần vừa  username  nhe",44
0,không có gì là không liên quan đâu :))))),45
0,vì nó thích ,46
0,xuanpac có cái biệt danh jayj thì thêm qka2 thành dây jqka2 chả báo sâm =))),47
0,biết chơi sâm k bác :v,48
0,mình lại ko hiểu theo  username  đen :))),49
0,đây là battle khen jay jqka2 báo sâm là đang khen bên kia chắc chắn thắng ấy :))))),52
0,cứ tưởng nó có liên quan đến troll rách :)),53
1,"câu thương hiệu của xuanpac, k có  username  gì cụ thể nhma nó vui nhạc xuanpac mà k có ""jqka báo sâm chết con cụ m đi thì k phải nhạc"" xuanpac",56
0,jay z là tên rapper còn jqka2 là báo sâm đó b :)),57
0,cái này là battle khen đối thủ hả,58
1,rap kiểu lò gì vậy,69
1,rap xl á tuổi trẻ bây h nghe vậy là hay cười haha mà mình chả thấy hay ho j,72
1,rap cai lol que,73
2,"hiểu đơn giản là rap nâng tầm đối thủ, còn nói nó thô tý là rap tự nhục",74
0,má đến phần tao nuôi con 5  username  moẹ cười phột luôn may là ko ăn cơm,75
2,văn hoá giới trẻ giờ nó lạ thật :)),78
0,"cái này có từ chục năm trc r,",79
0,giờ mới biết xong kêu bây giờ lạ =)),80
0,này nó ra đời từ thời bạn chưa đc nặn ra .,81
2,bọn này cho ăn học cho phí bạn,82
0,ông mới lạ á ông ơi :))),84
2,hỏng 1 thế hệ,88
0,chuẩn bác,89
0,bác lại overthingking r,91
1,hỏng thế dell nào lên án thứ đàn ông ko có trách no mà hỏng là hỏng chỗ mẹ nào hay you là jack thứ 2 :))),92
2,cụ đi tàu sáu ván r mà con cháu vác lên cho chết lần nữa. chịu thế hệ,94
2,j97 không cay đâu ,95
0,ô người anh em,96
0,ô người ae ,97
0,"ô người anh em , đi comment dạo à",98
0,chắc là k cay đâu,100
2,caydodai thôi,101
2,nó có coi mấy loại này đâu mà cay,102
2,thì nó có phải rapper đâu mà coi ,103
0,nhầm. st và j97 đều biết rap và xuất nghề có liên quan tới rap,104
2,nhưng giờ ai công nhận dách là ráp bơ ,105
2,mà rap được vài câu cũng được gọi là ráp bơ thì anh cũng đã là ráp bơ rồi,106
3,namki,107
2,rap hay là hài độc thoại vậy,108
0,hài độc thoại gọi battle rap bằng cụ,109
0,battle rap gọi hài đọc thoại bằng ông nội,110
2,chả ai cãi làm gì. 1 cái phải mồi setup cả buổi để chốt câu cuối nhạt nhẽo; 1 cái cứ 2 câu 1 câu setup 1 punchline chốt liên tục cả trận thì đủ hiểu cái nào hay hơn rồi ,111
0,"battle no beat rap, cho ai chưa biết đây là 1 trong những cái nôi sinh ra phúc du",112
0,cười hơn hài độc thoại ,113
2,đây là battel rap no beat việc học quan trọng lắm con,115
1,cho hỏi là rap thì liên quan con mẹ j vc học,116
1,mầy không học thì mầy comment là hài độc thoại à ? chứ mầy biết nó là cái đéo gì,117
1,"học flow, học vần, học punchline?học kiến thức xã hội để battle chứ cc gì?",118
0,battel cơ à =))))))))))),119
0,mình cũng thấy hợp vs hài độc thoại. hay ai gửi cho rách hộ cái,120
0,battle rap nó thế mà,121
0,chuẩn mà bạn. động vào idol mến à kkk,123
0,ko. bạn là nhất,124
0,chương trình j đây ae,125
0,:))) nó vẫn là dissneeland chẳng qua số 9 k  username thuỷ nên mc ill lấy xneeland :)) bạn nhé,128
0,đây là dissneeland 9 đó ,129
0,dissneeland 9 có lâu rồi nma chỉ cho thành viên đăng ký trên youtube xem được thôi,130
0,x  username là 9 đó bạn ,131
0,the voice kid nhé bạn,132
0,hhh nhưng mà em thấy nội dung nó hơi ko có hiểu,134
0,dù hiểu đang khịa ai nma nội dung liên kết ấy ạ,135
0,"tôi bt tôi cũng hay ra hồ giảng võ xem , nhưng mà thích nghe beat hơn ",138
0,mấy cái này muốn có beat cũg đc nhưg mà hình như ít bên nc ngoài cũg z,139
0,này là battle no beat chứ k phải freestyle,140
0,no beat nó k phải freestyle,141
0,bộ môn này là ko beat mà ,142
0,bt mà ,143
2,thế bạn hiểu gì về rap ?,144
0,t đ hiểu gì về rap nhưng t chơi dc freestyle t đớp dc boom bap t xoáy dc trap beat t nhảy dc type beat :/ mới chơi freestyle dc 2 năm b ơi :(( còn nghe rap thì từ lúc nào ko nhớ ạ ,145
2,b đọc hiểu có vấn đề à mà hỏi lại mình kiểu vậy ? thế b hiểu gì về rap ?,146
0,đây là nghệ thuật gì,147
0,này là chửi nhau hả,148
0,battle khen mà ông,149
0," sao tui thấy như kiểu chửi ý, chắc tại tui ko hợp cái này",150
2,ông ngây thơ thật kkk,151
0,đỉnh cao của chửi là tưởnng nó khen mình,152
0,này là làm thơ bạn ơi,153
2,chửi. chửi rách 5 củ ,154
0,hài độc thoại à,155
0,nhìn mặt ông này cứ như ông dưa leo ấy,157
3,sao tụi bay cứ parky namky v,160
0,có thể k phải người vn,161
