label,comments,ID
4,tăng cân quá đàstyle ăn mặc như phụ nữ trung niên.hồi thi mu đẹp lắm mà sao giờ kỳ  dẫy,0
0, username  người ta bệnh dùng thuốc,1
2,ở việt nam mình là chúa body shaming người khác. hình mẫu lý tưởng của người việt nam chỉ là ốm roi roi chứ còn mà đô theo kiểu gymer hay tròn trịa và mập là bị đem ra soi ngay mỗi cái đẹp có 1 hình mẫu khác nhau mà ít ai hỉu điều đó,2
0, username  tác hại của việc xem kpop và tiktok quá nhiều,3
2," username  không hiểu sao lúc là con nít mảnh mảnh gọn gọn cũng bị quở kêu là suy dinh dưởng, múp tròn mới đúng chuẩn, xong lớn lên thì kêu thanh mảnh mới đúng chuẩn chứ tròn múp là mập xấu. đúng là miệng đời không biết sao cho vừa",4
0," username  10đ làm mẹ luôn cái ơi. mà nuôi con gái còn ác nữa. lúc còn bé thì bắt múp múp mới dừa, mà lớn lên cấp 3 đại học thì bắt người ta thon. ủa gì mà ác",5
0," username  chuẩn cái ơi. nó còi thì chê còi xương, nó múp múp tí thì nhiều ông nhiều bà kêu béo thế giảm cân. con nít con nôi giảm cân cái gì không biết.",6
4," username  xấu thì bảo là xấu, shaming cái quái gì",7
2," username  bảo người ta xấu là shaming đấy  bản thân mình lấy cái quyền gì mà đi chê không nuôi được người ta ngày nào, cũng không phải trúa tể nắm quyền quyết định số phận của người khác nhưng lại rất thích oang oang cái mồm để chê",8
2, username  lôi mấy cái bài học giả tạo của phương tây ra để tỏ ra thượng đẳng à cũng là nô lệ tinh thần thôi,9
2," username   bản thân sống với cái tư duy khuyết tật riết rồi cứ hễ có cái gì văn minh tiến bộ hơn thì lại bảo là bài học giả tạo. văn vẻ nó vừa thôi, thích dùng từ hoa  mỹ thì trước hết chuẩn bị cho mình một tâm hồn đẹp và một cái nết",10
2," username  đầu nghĩ là xấu, mồm thấy nói là đẹp là văn minh à đầu tiên cứ chân thành đi đã. 1 xã hội ai cũng phải khen người khác là kiểu gì. văn vở toàn rẻ tiền lắm",11
2," username  chân thành nó khác với vô duyên. chẳng thà người ta bỏ bê bản thân, mình đến mình góp ý bảo mày nên chú ý đến sức khỏe thì đấy mới là chân thành. còn cái kiểu tính nết khó ưa mồm miệng choen choét như bãi phân mà tưởng mình thanh cao",12
0, username  thôi ở nơi không thích nghe lời thật nói cũng vô ích. sự thật mất lòng là câu của các cụ nhưng đám con cháu bgio thích khen hơn,13
2, username  nói thêm là toàn từ ngữ bẩn thỉu trên môi đọc thấy ngại thay ,14
2, username  chê thì cái vương miện vẫn an ổn mà toạ vị trên đầu cô ấy thôi vả lại làm người không làm được hành động hay nói được câu nào tử tế thì ngậm cái mõm lại đi bạn cũng chả nuôi được người ta ngày nào đâu mà có quyền toxic với họ,15
2, username  người ta bị bệnh uống thuốc nó để lại td phụ chứ có muốn vậy đâu  không nói được lời nào tử tế thì ngậm mẹ mồm vào,16
0,"cô ấy bị bệnh nên mập, có thể chấp nhận được",17
2," username  ui đúng rồi bạn. nhiều người thấy đô kiểu gymer là chê thô này thô kia. ốm thì nói sao ốm vậy, mập lên mới xinh. tròn xíu thì nay sao mập vậy, ăn gì mập vậy, vô duyên kinh khủng. chủ yếu muốn chê người khác để thoả mãn bản thân.",18
2, username  không liên quan lắm tới dụ body bà này. nhưng mà body shamming ở nước nào hông có mắc gì lôi mình nước tao vô rồi kêu chúa vậy. qua trung hay hàn quá 55kg coi nó nói ra sao.,19
2, username  đàn ông thì bớt cái mồm lại không người ta gọi là chị đấy,20
1, username  đâu người ta bảo là thằng  lồn chứ ai kêu chị bạn ơi ,21
4, username  béo thì người ta bảo béo. việc  lồn gì mà cứ phải sồn sồn lên . chả lẽ bảo gầy.,22
4,ngọc sơn không có mắt  à bạn. béo thế này mà bảo gầy,23
