label,comments,ID
0,thề xuanpac trận nào cũng tấu hề,0
4,mặt cũng hài cơ,1
2,các bạn trẻ nghĩ 5 triệu bé qu username nhỉ. các bạn làm ra được 1 tháng bao nhiêu. mà dám ở đó phán xét  5 triệu . các bạn thử lấy thêm vợ nữa và có con riêng xem. rồi sẽ hiểu 5 triệu nó  bao nhiêu,2
0,"thề, vừa đọc khúc đầu tính chửi rồi đoá",3
2,"năm triệu không bé cho dù bạn kiếm tiền tỉ  username người con của bạn mà bạn không nhận, chu cấp được năm triệu 1 tháng được 2 3 tháng thì ngừng thì đáng bị lên án",4
0,năm triệu ở thành phố thì đủ mua bỉm thôi nhá,5
0,suy nghĩ sâu xa chút đi  em trai,6
2,năm triệu có tháng có tháng không giờ ngừng luôn rồi được  bao nhiêu lâu,7
0,anh  trai lấy vợ chưa mà chia sẽ hay vậy ,9
0,mình cũng ở hoàn cảnh đó bạn à.,10
0,bé tí luôn chứ chả bé cái gì tao 2 con năm triệu không đủ đi sữa tiêm bỉm,11
0,"tao 1 tháng tiền học đã gần 5 triệu rồi. chưa tính bỉm sữa, ốm đau. không hiểu sao họ nghĩ 5 triệu bé",12
0,"để người ta mới sinh chu cấp được năm triệu cũng khiếp,kiếm tiền tỉ cho con năm triệu mà giờ còn đâu chu cấp 34 xong bỏ",13
2,một tháng nó kiếm cũng chả dưới 100 đâu  nuôi năm triệu chửi cho chả đúng,14
0,"100 triệu hay 200 triệu nó không phải vấn đề. mà là bạn phải có thêm vợ nữa và con riêng , bạn mới hiểu chu cấp cho vợ cũ  con nó  username  thế nào. cơm áo gạo tiền nó khó lắm chứ. đối nội ngoại 2 bên nữa",15
2,1200tr không phải vấn đề mà ông vẫn nói được câu cho con năm triệu là được rồi  hay đấy,16
2,"anh rể mình cũng ngoại tình , về bỏ vợ và 2 con , giờ lấy vợ mới nuôi con người ta , cho mẹ ruột thuê nhà khác ở riêng giờ suốt nhiều username y nợ chu cấp , vậy anh đó khổ",17
0,"hay chị gái mình khổ , bao nhiêu năm vất vả lo toan gdinh giờ tay trắg . người chọn con đường sai không nên đổ lỗi cho hoàn cảnh",18
2,ủa  ông ơi.vậy ai chăm con. ông đi làm cả tháng rảnh cho con  ông năm triệu.vậy  ông không tính vợ  ông nghỉ làm chăm con.thế ốm đau hay những nhiều username y con không đi học vợ  ông pải nghỉ làm để trông con.sao  ông lại suy nghĩ nthe nhỉ,19
0,đừng lấy  username kiến cá nhân nói nữa bạn.cố suy xét hoàn cảnh ý,20
2,chả ai nói năm triệu nhỏ. cái người ta nói là câu cái username ện đằng sau đó. sao cứ phải lên giọng trịch thượng trong khi còn không hiểu rõ cái vấn đề,21
2,rồi bạn nghỉ 1 đứa con gái vừa làm nuôi con mà có nhận được trợ cấp có năm triệu bạn nghỉ năm triệu đó to qu username nuôi tốt 1 đứa trẻ à,22
0,người ta nói là năm triệu so sánh với thu nhập cao của jack chứ không ai phán xét số năm triệu đó ít hay nh. nuôi con chẳng bh là đủ cả nếu muốn con bằng bạn bằng bè,23
0,"công dân  username  thường thì ai nói bác ơiquả này là hót họt người ta mới đáng nhắc tới chứ bác..bác căng thế,",24
2,"chấp làm gì đám thanh niên tik tok này hả bác  chắc gì tụi nó chửi bới ở đây, tháng làm ra được nổi năm triệu chứ ",25
0,căn bản lượng thu nhập là bao nhiêu mày kiếm vài trăm  trời một tháng chu cấp cho con vỏn vẹn năm triệu ở thành phố lớn năm triệu không đủ tiền sinh hoạt cho trẻ,26
0,người ta giáp người ta bảo nuôi con năm triệu của ai đó  username người người ta có chê 5 triệu đó bé đâu,27
0,vậy bạn có con chưa bạn ơi.chưa kể lúc ốm đau hay con đi viện bạn nhỉ.tiền sữa ăn học không cũng năm triệu nhé.,28
2,5 triệu  1 jack đó ạ,30
2,ông cháu không biết cái gì cả.bó ra bao nhiêu tiền gặp messi  username người nuôi con năm triệu 1 tháng,31
0,"vậy chắc bạn rất vất vả mới kiếm được năm triệu nên bạn nghĩ nó to , tôi nghèo  username g 1 tháng 2 con hơn chục không đủ lo cho con bạn nhé",32
0,không biết vụ messi với jack à  bạn,33
0,jack lấy hình ảnh messi vào mv khi không xin phép đó,34
0,"sai rồi bao nhiêu, câu đấy là câu để chốt là  thắng rồi ý, câu  trước  xong vụ này  đi là  username  màn rap ý bao nhiêu, vừa vần vừa nghĩa nhe",35
0,không có gì là không liên quan đâu ,36
0,vì nó thích ,37
0,xuanpac có cái biệt danh jayj thì thêm qka2 thành dây jqka2 chả báo sâm ,38
0,biết chơi sâm không bác vậy,39
0,mình lại không hiểu theo nghĩa đen ,40
0,đây là battle khen jay jqka2 báo sâm là đang khen bên kia chắc chắn thắng ấy ,41
0,cứ tưởng nó có liên quan đến  chơi khăm rách ,42
0,jay vậy là tên rapper còn jqka2 là báo sâm đó bạn ,44
0,cái này là battle khen đối thủ hả,45
2,"hiểu đơn giản là rap nâng tầm đối thủ, còn nói nó thô  tí là rap tự nhục",49
1,mày username đến phần tao nuôi con 5 triệu moẹ cười phột luôn may là không ăn cơm,50
2,văn ho username giới trẻ giờ nó lạ thật ,51
0,"cái này có từ chục năm  trước rồi,",52
0,giờ mới biết xong kêu bây giờ lạ ,53
0,này nó ra đời từ thời bạn chưa được nặn ra .,54
2,bọn này cho ăn học cho phí bạn,55
0,ông mới lạ  username ông ơi ,56
2,hỏng 1 thế hệ,57
0,bác lại overthingking rồi,59
2,cụ đi tàu sáu ván rồi mà con cháu vác lên cho chết lần nữa. chịu thế hệ,61
2,Jack không cay đâu ,62
0, ông người đi anh em,63
0, ông người  anh em ,64
0," ông người đi anh em , đi comment dạo à",65
0,chắc là không cay đâu,66
2,nó có coi mấy loại này đâu mà cay,68
2,thì nó có phải rapper đâu mà coi ,69
0,nhầm.  sơn tùng và Jack đều biết rap và xuất nghề có liên quan tới rap,70
2, username người giờ ai công nhận  rách là  rapper ,71
2,mà rap được vài câu cũng được gọi là  rapper thì anh cũng đã là  rapper rồi,72
2,rap hay là hài độc thoại vậy,74
0,hài độc thoại gọi battle rap bằng cụ,75
0,battle rap gọi hài đọc thoại bằng ông nội,76
2,chả ai cãi làm gì. 1 cái phải mồi setup cả buổi để chốt câu cuối nhạt nhẽo 1 cái cứ 2 câu 1 câu setup 1 punchline chốt liên tục cả trận thì đủ hiểu cái nào hay hơn rồi ,77
0,"battle no beat rap, cho ai chưa biết đây là 1 trong những cái nôi sinh ra phúc du",78
0,cười hơn hài độc thoại ,79
2,đây là battel rap no beat việc học quan trọng lắm con,80
0,battel cơ à ,84
0,mình cũng thấy hợp với hài độc thoại. hay ai gửi cho rách hộ cái,85
0,battle rap nó thế mà,86
0,chuẩn mà bạn. động vào idol mến à không,87
0,không. bạn là nhất,88
0,chương trình gì đây  anh em,89
0, nó vẫn là dissneeland chẳng qua số 9 không  username thuỷ nên mc ill lấy xneeland  bạn nhé,90
0,đây là dissneeland 9 đó ,91
0,dissneeland 9 có lâu rồi nhưng mà chỉ cho thành viên đăng ký trên youtube xem được thôi,92
0,x  username là 9 đó bạn ,93
0,the voice kid nhé bạn,94
0,giờ  username người mà em thấy nội dung nó hơi không có hiểu,95
0,dù hiểu đang khịa ai nhưng mà nội dung liên kết ấy ạ,96
0,"tôi biết tôi cũng hay ra hồ giảng võ xem ,  username người mà thích nghe beat hơn ",97
0,mấy cái này muốn có beat cũng được  nhưng mà hình như ít bên nước ngoài cũng vậy,98
0,này là battle no beat chứ không phải freestyle,99
0,no beat nó không phải freestyle,100
0,bộ môn này là không beat mà ,101
2,thế bạn hiểu gì về rap ,103
