
teencode,meaning
nvay, như vậy
nv, như vậy
a,anh
aw, đâu
ays, ấy
aiu, anh yêu
ae, anh em
ac,anh chị
b,bạn
bcs, bao cao su
bhn,bao nhiêu
bn,bao nhiêu
bnhieu, bao nhiêu
bnhiu, bao nhiêu
bs,bác sĩ
bt,biết
c,cái
ce, chị em
cb,chuẩn bị
chữi,chửi
ch,chưa
cj,chị
ck,chồng
ckc,chỉ cần
ckh,cục kít
ckm,chụt cái mỏ
ckoi,chồng ơi
cl,cái lồn
lìn, lồn
cdi, con đỉ
đũy, đĩ
cđl, con đĩ lồn
con card, con cặc
cak, cặc
clgt,cái lồn gì thế
cc, con cặc
cmnr,con mẹ nó rồi
cmt, bình luận
cn,chủ nhật
ct,công ty
cty,công ty
cx,cũng
cxn,cũng như
cái j,cái gì
cđ,con đỉ
cả nhà,cả nhà
d,đéo
dc,được
dell, đéo
dk,được
dl,dữ liệu
djt, địt
đjt, địt
đjtme, địt mẹ
djtme, địt mẹ
e,em
f,phải
fen, bạn
fs,freestyle
gk,gì không
gl,gì lắm
gv, giáo viên
h,giờ
hc,học
hch,hết chuyện
hcm,thành phố Hồ Chí Minh
hg,không
hn,hà nội
hok,không
sì tai lít, stylish
sai lích, stylish
sờ tai lích, stylish
bík, biết
hhhv, hoa hậu hoàn vũ
hp,hải phòng
chos, chó
ht,hết
hqa, hôm qua
hqua, hôm qua
hth,hết hơi
htrc,hôm trước
hđ,hành động
hụt hẫn,hụt hẫng
iu,yêu
iu nhau,yêu nhau
iu thg,yêu thương
j,gì
j97,Jack
jbn,job nào
jn,gì
jz, gì vậy
sz, sao vậy
jv, gì vậy
k,không
kb,không biết
kg,không
kh,không
khoe,khoẻ
klq,không liên quan
ko,không
ko b,không bạn
ko m,không mày
kiki, chó
kq,kết quả
lm,làm
ln,lồn
lnn,luôn
lol, lồn
lq,liên quan
lắm kn,lắm kinh nghiệm
m,mày
mun, muốn
mún, muốn
mjk,mình
mk,mình
mkiu,mình yêu
mn,mọi người
mng,mọi người
ms,mới
mak, mà
mt,máy tính
mtg,một ngày
mà k,mà không
mất d,mất dạy
ns, nói
hs,học sinh
n,nhiều
nc,nước
ng,người
ngt,người ta
ngta,người ta
nhiu, nhiêu
nhk,nha khoa
nhma,nhưng mà
nhưg, nhưng
nhậu,nhậu nhẹt
nk,nó
nma,nhưng mà
nmk,nếu mà không
nn,người
ntn,như thế nào
nv,nhân viên
nx,nữa
HH, hoa hậu
douma, đụ má
đou, đụ
vlin, vãi lồn
fk, phải không
yanglake, giang hồ
fai, phải
oc,óc chó
ô, ông
ổg, ổng
ok, đồng ý
okay, đồng ý
oke, đồng ý
oki, đồng ý
okee, đồng ý
okkk, đồng ý
dách, rách
st, sơn tùng
phm,phim
mầy,mày
parky, bắc kỳ
namki,nam kỳ
namky,nam kỳ
parkiki, bắc kỳ
pk, biết
pbvm, phân biệt vùng miền
namkiki,nam kỳ
cali, nam kỳ
q,quá
qđ,quyết định
qdiem, quan điểm
qtam, quan tâm
qhe,quan hệ
ql,quản lý
qq, quần què
qtv,quản trị viên
qđ,quyết định
r,rồi
rùi, rồi
gòi, rồi
òi, rồi
s,sao
sao vk,sao vậy
sg,sài gòn
sml,sấp mặt lồn
sn,sinh nhật
st,status
sv,sinh viên
t,tao
thik,thích
thui,thôi
th, thôi
thak, thằng
thj, thì
tk,thằng
khùm, khùng
tko,không
tks,cảm ơn
tl,trả lời
tn,tốt nghiệp
tnt,tương tư
5tr,năm triệu
3tr, ba triệu
tr, trời
trc, trước
trng,trường
trog,trong
tuyêt,tuyệt
tuef, từ
twf, từ
cg, cũng
cll mm, cái lồn mẹ mày
ngoo, ngu
v,vậy
vc,vãi cức
vch,vãi chưởng
vchhh,vãi chưởng
vk,vợ
vl,vãi lồn
vs,với
vt,vũng tàu
vn, việt nam
vãi cđ,vãi cức đái
lol que, lồn què
vđ,vấn đề
về mtg,về một ngày
xjn,xin
xl, xạo lồn
xh, xã hội
dứoi, dưới
yc,yêu cầu
yêu th,yêu thương
yêu thg,yêu
thg, thằng
ths, thôi
z,vậy
zô, vô
zo, vô
zu, vô
diên, Duyên
lôz, lồn
fat, mập
free, miễn phí
zai, trai
dv, diễn viên
đ,đéo
đc,được
đcc, được
đcsvn, đảng cộng sản việt nam
đkm,địt mẹ
đcm, địt con mẹ
đm,địt mẹ
đừng m,đừng mà
pp, tạm biệt
pbct, phân biệt chủng tộc
win, thắng
xg, xong
xog, xong
ik, đi
tý, tí
ráp bơ, rapper
5cu, năm triệu
5 củ, năm triệu
son tung, sơn tùng
bl, bình luận
memay, mẹ mày
mm, mẹ mày
dmm, địt mẹ mày
dm, địt mẹ
dkm, địt mẹ
vlin, vãi lồn
batluc, bất lực
concard, con cặc
ak, à
đải dó, đỏ dái
fk, địt mẹ
nammki, nam kỳ
namkikikiki, nam kỳ
namkikikikiki, nam kỳ
namkiiki, nam kỳ
3/, ba que
3q, ba que
3 que, ba que
