,comments
0,vậy trường đó là đóng góp quỹ cho bọn chó bên cali à
1,Sự nghiệp ở việt nam coi như chim cút
2, username  anh em phải làm mạnh tay và triệt để lên
3,"Cách giải quyết đơn giản nhất thì cứ viết to đùng lên là đcsvn quang vinh muôn năm là xong mà nhỉ, giải thích làm đ j"
4, username  làm gì dám :))) la lên cái mất cơm ngay
5, username  nếu nói mất chén cơm thì thị trường trong nước vẫn gấp tỷ lần thị trường ở hải ngoại. Lâu lâu vài chuyến lưu diễn nhưng thu nhập chính là ở VN.
6, username  cái chính là ả theo ngụy sẵn rồi chứ không phải sợ mất chén cơm hay không. Về Việt Nam đi hát còn có ăn chứ lò dò đi theo mấy thằng chống gậy bên kia có mà chết đói
7, username  Chuẩn. nó còn mới ăn mừng dc nhập quốc tịch mẽo kìa
8, username  để làm gì?
9, username  bắt nó chọn phe chứ đừng có nhì nhằng
10, username  để làm gì?
11, username  phải chọn phe đi để giải quyết luôn 1 thể chứ chơi trò chân đứng 2 thuyền vậy thì hèn lắm
12," username  ờ thì kệ nó, việc mình làm cứ làm tốt"
13," username  đúng việc mình là sống theo pháp luật, bài trừ cái xấu, lên án cái sai. Ả ta ăn cơm cộng sản thờ ma cộng hòa là cái sai thứ nhất. Cái sai thứ 2 là ả chọn cái phe đã từng khủng bố Việt Nam nhiều lần, gây rối sự ổn định ở Việt Nam … See more"
14," username  vỗ khen khen ngợi, ăn no mai bài trừ cái xấu tiếp nha"
15," username  đương nhiên phải làm chứ :))) Thấy cái sai vẫn ngồi nghiễm nhiên chấp nhận thì loại đó bỏ sọt rác, giặc tới xách balo chạy trước à"
16, username  chúc chú đánh giặc online thành công nhé
17," username  3que ăn cứt, cút"
18, username  ĐẢNG CỘNG SẢN VIỆT NAM QUANG VINH MUÔN NĂM
19," username  làm gì đó mạnh mẽ hơn đi, gõ phím k đau đâu mà"
20," username  Thôi nào, để nó khịa bẩn đến ntn mà vẫn còn kiên nhẫn trả lời nó à. Có những đứa mình không cần thiết phải rep nó. Không phải đồng loại, không nói tiếng người thì cố giải thích nó cũng có hiểu đâu. Sự khinh bỉ lớn nhất là coi nó không tồn tại :))"
21, username  mài khát lắm đúng ko. À làm gì có nước đâu mà uống
22, username  hi Nhị Lang Thần
23, username  thì ra bọn 3 que dạy mài mất văn hoá vậy. Lũ khát nước
24," username  nói gì đó mới hơn đi, cũ rích à"
25," username  Bản thân bọn vịt tân đã là giặc, mà internet cũng là 1 chiến trường, mỗi công dân Việt Nam đều là 1 chiến sỹ. Bài trừ cái sai, cái xấu trên mạng xã hội cũng là 1 cuộc chiến nhất là cái xấu đó gây bất ổn an ninh, chính trị của quốc gia th… See more"
26, username  mai lên phường in cho cái giấy khen rồi tiếp tục nằm ì ra mà gõ nhé
27, username  ít ra cũng có cái giấy khen chỉ cần không đụng đến pháp luật để ăn cái giấy truy nã như bọn phản động là dzui rồi
28," username  Cai mẹ mày à, lúc súc vật"
29,R Lubis Nayla who are you ? Why u talking like that ? Why u so angry
30, username  húc cái cổng dỗi lâu thế
31," username  copy paste mãi không thấy chán hả, làm gì đó thông minh hơn đi =.="
32, username  người như b thì lên rừng ở với khỉ đi bạn. sống trong cộng đồng phí đất quá
33," username  rep 1 câu mãi k thấy chán à, làm gì đó thông minh hơn đi =-="
34,Minh Hoàng thằng này sáng tạo nè +1 respect
35," username  hahaha top 1 giải copy paste, mai lên phường lãnh giấy khen +1 bàn phím mới nha"
36, username  m cũng qua mẽo nó bố thí shit cho nha. haha. m cũng giải nhất đó
37, username  nắng quá nên bắt đầu nói chuyện không đâu ời đó
38, username  m cũng đâu nói chuyện ra đâu với đâu đâu ???
39," username  hehe đi chơi tiếp đây, ngồi tự kỷ online tiếp đi"
40," username  t cũng đâu rảnh đôi co, nãy giờ ngồi xàm cũng dc vài dòng code, ngồi mà tự kỉ tiếp đi"
41, username  Mày cũng khát nước à
42," username  chẳng cần đến nhà nước xử lý, chỉ cần khán giả quay lưng là nó đã chế t cm nó rồi. b ố cái thằng ó c ch ó"
43," username  chặn nó đi mấy cha, rảnh quá rep hoài"
44," username  công nhận, trong bài viết còn ko dám khẳng định lập trường yêu nước hay gì… mà chỉ như tường thuật lại thôi ấy"
45, username  ủa yêu nước và chế độ khác nhau mà mẹ. Đất nước cả ngàn năn văn hiến còn thể chế nhà nước có thể thay đổi mà.
46,Hannie Monaban không có cái thể chế nhà nước này xem cái nước có ra hồn nước không nhé
