label,comments,ID,id
0,Thề xuanpac trận nào cũng tấu hề,0.0,
0,Mặt cũng hài cơ,1.0,
-1,thánh tấu hài từ diss 6 h vẫn nổi,2.0,
2,các bạn trẻ nghĩ 5 triệu bé quá nhỉ. Các bạn làm ra được 1 tháng bao nhiêu. mà dám ở đó phán xét ( 5 triệu ). Các bạn thử lấy thêm vk nữa và có con riêng xem. rồi sẽ hiểu 5 triệu nó = bao nhiêu,4.0,
0,"Thề, vừa đọc khúc đầu tính chửi rồi đoá",5.0,
2,"5tr k bé cho dù b kiếm tiền tỉ nhưng con của b mà b k nhận, chu cấp đc 5tr 1 tháng đc 2 3 tháng thì ngừng thì đáng bị lên án",6.0,
0,5tr ở thành phố thì đủ mua bỉm thôi nhá,7.0,
0,suy nghĩ sâu xa chút đi em rai,8.0,
2,5tr có tháng có tháng không h ngừng luôn r đc bnhieu lâu,9.0,
1,"nói nhiều quá phải t , t còn ngừng lâu rồi :)) làm lox gì được nó đâu",10.0,
-1,Bự,12.0,
0,A zai lấy vợ chưa mà chia sẽ hay vậy ,13.0,
0,mình cũng ở hoàn cảnh đó b à.,14.0,
0,Bé tí luôn chứ chả bé cái gì t 2 con 5tr k đủ đi sữa tiêm bỉm,15.0,
0,"t 1 tháng tiền học đã gần 5 triệu r. chưa tính bỉm sữa, ốm đau. không hiểu sao họ nghĩ 5 triệu bé",16.0,
0,"Để ngta mới sinh chu cấp đc 5tr cũng khiếp,kiếm tiền tỉ cho con 5tr mà h còn đâu chu cấp 3-4 xong bỏ",17.0,
2,một tháng nó kiếm cx chả dưới 100 đâu  nuôi 5tr chửi cho chả đúng,18.0,
0,"100 triệu hay 200 triệu nó không phải vấn đề. mà là bạn phải có thêm vk nữa và con riêng , b mới hiểu chu cấp cho vk cũ + con nó như thế nào. cơm áo gạo tiền nó khó lắm chứ. đối nội ngoại 2 bên nữa",19.0,
2,1-200tr k phải vấn đề mà ông vẫn nói đc câu cho con 5tr là đc r  hay đấy,20.0,
2,"a rể mình cũg ngoại tình , về bỏ vợ và 2 con , h lấy vợ mới nuôi con ngta , cho mẹ ruột thuê nhà khác ở riêng giờ suốt ngày nợ chu cấp , vậy a đó khổ",21.0,
0,"hay chị gái mình khổ , bn năm vất vả lo toan gdinh giờ tay trắg . ng chọn con đường sai ko nên đổ lỗi cho hoàn cảnh",22.0,
2,ủa ô ơi.vậy ai chăm con.ô đi làm cả tháng rảnh cho con ô 5tr.vậy ô ko tính vk ô nghỉ làm chăm con.thế ốm đau hay những ngày con ko đi học vk ô pải nghỉ làm để trông con.sao ô lại suy nghĩ nthe nhỉ,23.0,
0,Đừng lấy chính kiến cá nhân nói nữa bạn.cố suy xét hoàn cảnh ý,24.0,
