,label,comments,ID
0,0,thề xuanpac trận nào cũng tấu hề,0
1,0,mặt cũng hài cơ,1
3,2,các bạn trẻ nghĩ 5 triệu bé qu username nhỉ. các bạn làm ra được 1 tháng bao nhiêu. mà dám ở đó phán xét  5 triệu . các bạn thử lấy thêm vợ nữa và có con riêng xem. rồi sẽ hiểu 5 triệu nó  bao nhiêu,2
4,0,"thề, vừa đọc khúc đầu tính chửi rồi đoá",3
5,2,"năm triệu không bé cho dù bạn kiếm tiền tỉ  username người con của bạn mà bạn không nhận, chu cấp được năm triệu 1 tháng được 2 3 tháng thì ngừng thì đáng bị lên án",4
6,0,năm triệu ở thành phố thì đủ mua bỉm thôi nhá,5
7,0,suy nghĩ sâu xa chút đi  em trai,6
8,2,năm triệu có tháng có tháng không giờ ngừng luôn rồi được  bao nhiêu lâu,7
9,1,"nói nhiều qu username phải tao , tao còn ngừng lâu rồi  làm  lồn gì được nó đâu",8
11,0,anh  trai lấy vợ chưa mà chia sẽ hay vậy ,9
12,0,mình cũng ở hoàn cảnh đó bạn à.,10
13,0,bé tí luôn chứ chả bé cái gì tao 2 con năm triệu không đủ đi sữa tiêm bỉm,11
14,0,"tao 1 tháng tiền học đã gần 5 triệu rồi. chưa tính bỉm sữa, ốm đau. không hiểu sao họ nghĩ 5 triệu bé",12
15,0,"để người ta mới sinh chu cấp được năm triệu cũng khiếp,kiếm tiền tỉ cho con năm triệu mà giờ còn đâu chu cấp 34 xong bỏ",13
16,2,một tháng nó kiếm cũng chả dưới 100 đâu  nuôi năm triệu chửi cho chả đúng,14
17,0,"100 triệu hay 200 triệu nó không phải vấn đề. mà là bạn phải có thêm vợ nữa và con riêng , bạn mới hiểu chu cấp cho vợ cũ  con nó  username  thế nào. cơm áo gạo tiền nó khó lắm chứ. đối nội ngoại 2 bên nữa",15
18,2,1200tr không phải vấn đề mà ông vẫn nói được câu cho con năm triệu là được rồi  hay đấy,16
