,label,comments,ID
0,0,thề xuanpac trận nào cũng tấu hề,0
1,0,mặt cũng hài cơ,1
2,-1,thánh tấu hài từ diss 6 h vẫn nổi,2
3,2,các bạn trẻ nghĩ 5 triệu bé qu username nhỉ. các bạn làm ra được 1 tháng bao nhiêu. mà dám ở đó phán xét ( 5 triệu ). các bạn thử lấy thêm vk nữa và có con riêng xem. rồi sẽ hiểu 5 triệu nó = bao nhiêu,4
4,0,"thề, vừa đọc khúc đầu tính chửi rồi đoá",5
5,2,"5tr k bé cho dù b kiếm tiền tỉ username username ng con của b mà b k nhận, chu cấp đc 5tr 1 tháng đc 2 3 tháng thì ngừng thì đáng bị lên án",6
6,0,5tr ở thành phố thì đủ mua bỉm thôi nhá,7
7,0,suy nghĩ sâu xa chút đi em rai,8
8,2,5tr có tháng có tháng không h ngừng luôn r đc bnhieu lâu,9
9,1,"nói nhiều qu username phải t , t còn ngừng lâu rồi :)) làm lox gì được nó đâu",10
10,-1,bự,12
11,0,a zai lấy vợ chưa mà chia sẽ hay vậy ,13
12,0,mình cũng ở hoàn cảnh đó b à.,14
13,0,bé tí luôn chứ chả bé cái gì t 2 con 5tr k đủ đi sữa tiêm bỉm,15
14,0,"t 1 tháng tiền học đã gần 5 triệu r. chưa tính bỉm sữa, ốm đau. không hiểu sao họ nghĩ 5 triệu bé",16
15,0,"để ngta mới sinh chu cấp đc 5tr cũng khiếp,kiếm tiền tỉ cho con 5tr mà h còn đâu chu cấp 3-4 xong bỏ",17
16,2,một tháng nó kiếm cx chả dưới 100 đâu username nuôi 5tr chửi cho chả đúng,18
17,0,"100 triệu hay 200 triệu nó không phải vấn đề. mà là bạn phải có thêm vk nữa và con riêng , b mới hiểu chu cấp cho vk cũ + con nó  username  thế nào. cơm áo gạo tiền nó khó lắm chứ. đối nội ngoại 2 bên nữa",19
18,2,1-200tr k phải vấn đề mà ông vẫn nói đc câu cho con 5tr là đc r username hay đấy,20
